Date,Price,GHS_USD,USD_XOF,Station_Name,PRCP,TAVG_C,TMAX_C,TMIN_C
2008-01-02,2123.82,,445.3,"KOTOKA INTERNATIONAL, GH",,28.333333333333332,,
2008-01-03,2144.78,,444.67,"KOTOKA INTERNATIONAL, GH",,30.555555555555557,,
2008-01-04,2132.96,,444.7,"KOTOKA INTERNATIONAL, GH",,26.11111111111111,,23.333333333333332
2008-01-07,2166.89,,446.15,"KOTOKA INTERNATIONAL, GH",,29.444444444444443,32.77777777777778,
2008-01-08,2194.77,,445.82,"KOTOKA INTERNATIONAL, GH",,27.77777777777778,,
2008-01-09,2183.7,,447.25,,,,,
2008-01-10,2201.04,,442.95,,,,,
2008-01-11,2206.14,,443.79,,,,,
2008-01-14,2241.94,,441.08,,,,,
2008-01-15,2232.59,,442.98,,,,,
2008-01-16,2201.93,,447.28,,,,,
2008-01-17,2212.04,,448.04,"KOTOKA INTERNATIONAL, GH",,28.88888888888889,32.77777777777778,
2008-01-18,2193.64,,448.84,"KOTOKA INTERNATIONAL, GH",,26.11111111111111,,22.77777777777778
2008-01-21,2175.48,,454.1,,,,,
2008-01-22,2181.22,,447.95,"KOTOKA INTERNATIONAL, GH",,27.22222222222222,32.77777777777778,
2008-01-22,2181.22,,447.95,"AKIM ODA, GH",,25.555555555555557,31.666666666666668,
2008-01-23,2191.7,,448.07,"KOTOKA INTERNATIONAL, GH",,27.22222222222222,,
2008-01-24,2247.3,,443.97,"KOTOKA INTERNATIONAL, GH",,25.0,,
2008-01-25,2260.0,,446.91,"KOTOKA INTERNATIONAL, GH",,25.0,,21.11111111111111
2008-01-28,2264.63,,443.52,"KOTOKA INTERNATIONAL, GH",,22.77777777777778,,
2008-01-29,2281.43,,443.76,,,,,
2008-01-30,2333.95,,440.78,,,,,
2008-01-31,2376.78,,441.22,,,,,
2008-02-01,2370.2,,441.5,,,,,
2008-02-04,2388.13,,442.24,"KOTOKA INTERNATIONAL, GH",,26.11111111111111,,25.555555555555557
2008-02-05,2377.94,,447.52,,,,,
2008-02-06,2392.93,,448.44,"KOTOKA INTERNATIONAL, GH",,30.0,,
2008-02-07,2389.66,,452.68,"KOTOKA INTERNATIONAL, GH",,29.444444444444443,,26.666666666666668
2008-02-07,2389.66,,452.68,"AKIM ODA, GH",0.2,26.666666666666668,,
2008-02-08,2412.38,,451.9,,,,,
2008-02-11,2428.09,,451.44,"KOTOKA INTERNATIONAL, GH",,31.11111111111111,,
2008-02-12,2466.14,,449.67,,,,,
2008-02-13,2493.29,,450.04,"KOTOKA INTERNATIONAL, GH",,27.22222222222222,,
2008-02-14,2511.47,,447.98,"KOTOKA INTERNATIONAL, GH",,29.444444444444443,,
2008-02-15,2547.24,,446.52,"KOTOKA INTERNATIONAL, GH",,29.444444444444443,,
2008-02-18,2527.97,,447.58,"KOTOKA INTERNATIONAL, GH",,30.555555555555557,,
2008-02-19,2528.32,,445.24,,,,,
2008-02-20,2472.16,,445.82,,,,,
2008-02-21,2506.94,,442.66,"KOTOKA INTERNATIONAL, GH",,31.666666666666668,,
2008-02-22,2583.0,1.0323,442.12,"KOTOKA INTERNATIONAL, GH",,30.0,,23.333333333333332
2008-02-25,2598.84,1.0323,442.27,"KOTOKA INTERNATIONAL, GH",,30.0,32.22222222222222,
2008-02-26,2644.61,1.0323,438.13,"KOTOKA INTERNATIONAL, GH",,28.88888888888889,33.333333333333336,26.666666666666668
2008-02-27,2718.96,1.0323,433.58,"KOTOKA INTERNATIONAL, GH",,27.77777777777778,,
2008-02-28,2816.22,1.0323,430.73,"KOTOKA INTERNATIONAL, GH",,29.444444444444443,,25.555555555555557
2008-02-29,2810.05,1.0323,431.92,"KOTOKA INTERNATIONAL, GH",,27.22222222222222,,26.11111111111111
2008-03-03,2800.8,1.0323,431.15,,,,,
2008-03-04,2773.12,1.0323,430.98,"KOTOKA INTERNATIONAL, GH",,29.444444444444443,,
2008-03-05,2808.81,1.0323,429.51,"KOTOKA INTERNATIONAL, GH",,29.444444444444443,,
2008-03-06,2767.28,1.0263,426.11,"KOTOKA INTERNATIONAL, GH",,28.333333333333332,,
2008-03-07,2770.54,1.0292,427.27,"KOTOKA INTERNATIONAL, GH",,30.555555555555557,,
2008-03-10,2761.43,1.0323,427.38,,,,,
2008-03-11,2822.88,1.0323,427.61,"KOTOKA INTERNATIONAL, GH",,28.333333333333332,32.77777777777778,
2008-03-12,2830.25,1.0323,422.21,"KOTOKA INTERNATIONAL, GH",,28.333333333333332,32.22222222222222,
2008-03-13,2944.63,1.0323,419.34,"KOTOKA INTERNATIONAL, GH",,28.333333333333332,,
2008-03-14,2939.47,1.0323,418.35,"KOTOKA INTERNATIONAL, GH",,28.88888888888889,,
2008-03-17,2754.73,1.0323,416.86,"KOTOKA INTERNATIONAL, GH",,30.0,,
2008-03-18,2757.45,1.0323,419.59,"KOTOKA INTERNATIONAL, GH",,30.0,,
2008-03-19,2538.92,1.0323,419.72,"KOTOKA INTERNATIONAL, GH",,28.333333333333332,,
2008-03-20,2399.09,1.0323,424.92,"KOTOKA INTERNATIONAL, GH",,29.444444444444443,,
2008-03-24,2396.85,1.0323,425.14,"KOTOKA INTERNATIONAL, GH",,28.88888888888889,,
2008-03-24,2396.85,1.0323,425.14,"KUMASI, GH",,23.333333333333332,,
2008-03-25,2457.44,1.0323,418.94,"KOTOKA INTERNATIONAL, GH",,27.77777777777778,,26.11111111111111
2008-03-26,2469.16,1.0323,413.78,"KOTOKA INTERNATIONAL, GH",,31.11111111111111,,
2008-03-27,2534.94,1.0132,415.57,,,,,
2008-03-28,2452.67,1.0132,415.04,,,,,
2008-03-31,2427.65,1.0124,415.49,"KOTOKA INTERNATIONAL, GH",,25.0,,
2008-04-01,2415.16,1.0104,420.04,"KOTOKA INTERNATIONAL, GH",,29.444444444444443,,
2008-04-02,2375.5,1.0106,417.85,"KOTOKA INTERNATIONAL, GH",,28.333333333333332,,
2008-04-03,2397.35,1.0114,418.09,"KOTOKA INTERNATIONAL, GH",,26.666666666666668,,
2008-04-04,2396.62,1.038,416.62,"KOTOKA INTERNATIONAL, GH",,28.88888888888889,,
2008-04-07,2446.29,1.0395,417.66,"KOTOKA INTERNATIONAL, GH",,28.333333333333332,,
2008-04-08,2420.49,0.995,417.31,"KOTOKA INTERNATIONAL, GH",,28.333333333333332,32.22222222222222,
2008-04-09,2502.41,0.995,414.2,,,,,
2008-04-10,2571.14,1.0068,416.49,"KOTOKA INTERNATIONAL, GH",,29.444444444444443,,
2008-04-11,2637.45,1.0231,414.6,"KOTOKA INTERNATIONAL, GH",,30.0,,
2008-04-14,2628.81,1.005,414.23,"KOTOKA INTERNATIONAL, GH",,30.555555555555557,32.22222222222222,
2008-04-15,2610.96,1.005,415.28,"KOTOKA INTERNATIONAL, GH",,30.0,,
2008-04-16,2665.89,1.0053,411.11,"KOTOKA INTERNATIONAL, GH",,30.555555555555557,,
2008-04-17,2749.62,1.005,412.53,"KOTOKA INTERNATIONAL, GH",,27.77777777777778,,
2008-04-18,2708.23,0.995,414.57,"KOTOKA INTERNATIONAL, GH",,27.22222222222222,,
2008-04-21,2721.21,0.9973,412.09,"KOTOKA INTERNATIONAL, GH",,30.555555555555557,,
2008-04-22,2791.34,1.0066,410.11,"KOTOKA INTERNATIONAL, GH",,29.444444444444443,,
2008-04-23,2798.97,1.0028,412.79,"KOTOKA INTERNATIONAL, GH",1.3,29.444444444444443,33.333333333333336,21.11111111111111
2008-04-23,2798.97,1.0028,412.79,"SUNYANI, GH",,24.444444444444443,,
2008-04-24,2809.93,0.995,418.14,"KOTOKA INTERNATIONAL, GH",0.0,28.88888888888889,,
2008-04-25,2797.36,0.995,419.64,"KOTOKA INTERNATIONAL, GH",,26.11111111111111,,
2008-04-28,2808.85,0.9965,418.65,"KOTOKA INTERNATIONAL, GH",,27.22222222222222,,
2008-04-29,2784.99,0.996,420.96,"KOTOKA INTERNATIONAL, GH",,26.666666666666668,,
2008-04-30,2784.69,0.996,419.85,,,,,
2008-05-01,2627.84,0.996,423.76,,,,,
2008-05-02,2641.07,1.0179,425.14,,,,,
2008-05-05,2666.22,0.9926,423.11,,,,,
2008-05-06,2768.65,0.9926,422.26,"KOTOKA INTERNATIONAL, GH",,27.77777777777778,,
2008-05-07,2700.86,0.995,425.88,,,,,
2008-05-08,2731.32,0.995,425.94,,,,,
2008-05-09,2756.95,1.0214,423.6,,,,,
2008-05-12,2790.76,0.995,421.72,,,,,
2008-05-13,2657.39,0.9852,423.79,,,,,
2008-05-14,2673.62,1.0192,423.71,,,,,
2008-05-15,2654.58,1.0192,424.48,,,,,
2008-05-16,2707.97,0.9852,420.74,,,,,
2008-05-19,2647.66,0.9852,422.78,,,,,
2008-05-20,2649.88,0.9943,419.02,,,,,
2008-05-21,2630.1,0.9878,415.25,,,,,
2008-05-22,2635.28,0.9757,416.78,,,,,
2008-05-23,2631.49,1.0001,415.67,,,,,
2008-05-27,2656.7,0.9852,417.95,,,,,
2008-05-28,2675.72,0.9841,419.18,,,,,
2008-05-29,2780.68,0.9841,422.73,,,,,
2008-05-30,2797.29,0.9841,421.56,,,,,
