Date,icco_daily_price
1994-10-03,1466.24
1994-10-04,1462.28
1994-10-05,1430.57
1994-10-06,1430.32
1994-10-07,1416.46
1994-10-10,1413.73
1994-10-11,1413.94
1994-10-12,1411.61
1994-10-13,1412.38
1994-10-14,1415.5
1994-10-17,1442.79
1994-10-18,1441.52
1994-10-19,1449.5
1994-10-20,1471.91
1994-10-21,1471.46
1994-10-24,1459.74
1994-10-25,1460.88
1994-10-26,1476.99
1994-10-27,1497.14
1994-10-28,1480.12
1994-10-31,1482.1
1994-11-01,1464.6
1994-11-02,1461.92
1994-11-03,1454.23
1994-11-04,1449.19
1994-11-07,1426.5
1994-11-08,1432.68
1994-11-09,1428.59
1994-11-10,1422.76
1994-11-11,1430.43
1994-11-14,1414.25
1994-11-15,1462.12
1994-11-16,1445.71
1994-11-17,1448.57
1994-11-18,1455.18
1994-11-21,1467.82
1994-11-22,1463.94
1994-11-23,1461.79
1994-11-24,1447.74
1994-11-25,1447.73
1994-11-28,1423.51
1994-11-29,1346.41
1994-11-30,1357.9
1994-12-01,1366.18
1994-12-02,1366.48
1994-12-05,1363.64
1994-12-06,1373.38
1994-12-07,1382.41
1994-12-08,1379.29
1994-12-09,1374.68
1994-12-12,1350.61
1994-12-13,1348.58
1994-12-14,1373.04
1994-12-15,1416.3
1994-12-16,1407.65
1994-12-19,1419.81
1994-12-20,1438.74
1994-12-21,1446.04
1994-12-22,1436.07
1994-12-23,1436.67
1994-12-27,1430.09
1994-12-28,1420.19
1994-12-29,1435.65
1994-12-30,1421.7
1995-01-03,1411.14
1995-01-04,1436.02
1995-01-05,1455.71
1995-01-06,1475.8
1995-01-09,1446.09
1995-01-10,1469.17
1995-01-11,1478.1
1995-01-12,1485.34
1995-01-13,1430.59
1995-01-16,1437.67
1995-01-17,1447.73
1995-01-18,1458.26
1995-01-19,1460.88
1995-01-20,1498.67
1995-01-23,1489.01
1995-01-24,1475.96
1995-01-25,1492.04
1995-01-26,1504.7
1995-01-27,1492.01
1995-01-30,1502.82
1995-01-31,1497.47
1995-02-01,1493.1
1995-02-02,1483.59
1995-02-03,1477.5
1995-02-06,1446.55
1995-02-07,1444.07
1995-02-08,1455.77
1995-02-09,1454.76
1995-02-10,1476.71
1995-02-13,1485.11
1995-02-14,1526.47
1995-02-15,1524.61
1995-02-16,1533.63
1995-02-17,1525.15
1995-02-20,1540.68
1995-02-21,1554.78
1995-02-22,1553.42
1995-02-23,1562.15
1995-02-24,1568.62
1995-02-27,1558.18
1995-02-28,1543.9
1995-03-01,1545.82
1995-03-02,1538.22
1995-03-03,1568.46
1995-03-06,1553.19
1995-03-07,1559.13
1995-03-08,1553.08
1995-03-09,1507.64
1995-03-10,1490.45
1995-03-13,1500.62
1995-03-14,1467.68
1995-03-15,1488.67
1995-03-16,1466.61
1995-03-17,1474.4
1995-03-20,1477.88
1995-03-21,1443.29
1995-03-22,1457.47
1995-03-23,1435.43
1995-03-24,1432.7
1995-03-27,1436.1
1995-03-28,1431.01
1995-03-29,1449.53
1995-03-30,1425.18
1995-03-31,1450.97
1995-04-03,1437.37
1995-04-04,1423.28
1995-04-05,1447.22
1995-04-06,1448.03
1995-04-07,1444.72
1995-04-10,1413.56
1995-04-11,1413.02
1995-04-12,1428.54
1995-04-13,1418.25
1995-04-17,1454.82
1995-04-18,1489.58
1995-04-19,1483.86
1995-04-20,1507.04
1995-04-21,1526.98
1995-04-24,1514.76
1995-04-25,1506.93
1995-04-26,1501.71
1995-04-27,1522.63
1995-04-28,1532.44
1995-05-01,1512.09
1995-05-02,1507.84
1995-05-03,1512.04
1995-05-04,1490.52
1995-05-05,1437.43
1995-05-08,1430.56
1995-05-09,1434.17
1995-05-10,1421.48
1995-05-11,1397.31
1995-05-12,1409.8
1995-05-15,1419.78
1995-05-16,1429.94
1995-05-17,1434.49
1995-05-18,1434.9
1995-05-19,1448.44
1995-05-22,1435.83
1995-05-23,1432.5
1995-05-24,1434.52
1995-05-25,1422.2
1995-05-26,1447.22
1995-05-30,1441.82
1995-05-31,1462.88
1995-06-01,1477.55
1995-06-02,1460.99
1995-06-05,1438.69
1995-06-06,1403.39
1995-06-07,1409.81
1995-06-08,1417.0
1995-06-09,1417.51
1995-06-10,1410.37
1995-06-13,1395.94
1995-06-14,1412.95
1995-06-15,1448.41
1995-06-16,1468.21
1995-06-19,1462.94
1995-06-20,1455.07
1995-06-21,1465.26
1995-06-22,1463.13
1995-06-23,1455.25
1995-06-26,1442.27
1995-06-27,1430.58
1995-06-28,1424.72
1995-06-29,1434.35
1995-06-30,1423.35
1995-07-03,1429.73
1995-07-04,1426.08
1995-07-05,1422.78
1995-07-06,1404.12
1995-07-07,1380.63
1995-07-08,1342.41
1995-07-11,1351.94
1995-07-12,1336.55
1995-07-13,1350.17
1995-07-14,1359.95
1995-07-17,1345.62
1995-07-18,1351.71
1995-07-19,1359.12
1995-07-20,1355.21
1995-07-21,1371.19
1995-07-22,1361.75
1995-07-25,1336.55
1995-07-26,1335.09
1995-07-27,1343.43
1995-07-28,1344.68
1995-07-31,1335.57
1995-08-01,1357.55
1995-08-02,1371.97
1995-08-03,1378.46
1995-08-04,1390.04
1995-08-07,1422.11
1995-08-08,1401.21
1995-08-09,1388.58
1995-08-10,1393.61
1995-08-11,1398.34
1995-08-14,1384.32
1995-08-15,1414.61
1995-08-16,1408.98
1995-08-17,1402.3
1995-08-18,1418.87
1995-08-21,1442.56
1995-08-22,1448.73
1995-08-23,1442.84
1995-08-24,1439.53
1995-08-25,1452.49
1995-08-28,1453.25
1995-08-29,1439.68
1995-08-30,1419.97
1995-08-31,1428.49
1995-09-01,1436.74
1995-09-04,1433.43
1995-09-05,1425.98
1995-09-06,1395.61
1995-09-07,1400.59
1995-09-08,1394.48
1995-09-11,1372.24
1995-09-12,1370.47
1995-09-13,1380.67
1995-09-14,1382.41
1995-09-15,1392.11
1995-09-18,1386.42
1995-09-19,1378.65
1995-09-20,1388.43
1995-09-21,1409.14
1995-09-22,1411.7
1995-09-25,1401.92
1995-09-26,1386.14
1995-09-27,1387.61
1995-09-28,1399.9
1995-09-29,1400.31
1995-10-02,1373.89
1995-10-03,1372.8
1995-10-04,1381.55
1995-10-05,1375.45
1995-10-06,1373.33
1995-10-09,1375.14
1995-10-10,1358.34
1995-10-11,1362.39
1995-10-12,1378.73
1995-10-13,1374.23
1995-10-16,1389.96
1995-10-17,1401.67
1995-10-18,1386.46
1995-10-19,1408.43
1995-10-20,1411.91
1995-10-23,1416.56
1995-10-24,1423.23
1995-10-25,1419.4
1995-10-26,1415.66
1995-10-27,1435.34
1995-10-30,1426.14
1995-10-31,1420.15
1995-11-01,1407.42
1995-11-02,1423.4
1995-11-03,1417.11
1995-11-06,1419.03
1995-11-07,1448.14
1995-11-08,1453.67
1995-11-09,1461.66
1995-11-10,1451.15
1995-11-13,1422.44
1995-11-14,1432.12
1995-11-15,1463.02
1995-11-16,1469.83
1995-11-17,1462.43
1995-11-20,1459.24
1995-11-21,1443.63
1995-11-22,1458.86
1995-11-23,1443.99
1995-11-24,1442.24
1995-11-27,1412.64
1995-11-28,1403.24
1995-11-29,1413.01
1995-11-30,1396.03
1995-12-01,1389.93
1995-12-04,1392.43
1995-12-05,1399.91
1995-12-06,1392.41
1995-12-07,1398.67
1995-12-08,1395.45
1995-12-11,1406.35
1995-12-12,1399.33
1995-12-13,1383.64
1995-12-14,1390.74
1995-12-15,1391.04
1995-12-18,1368.38
1995-12-19,1361.75
1995-12-20,1362.52
1995-12-21,1355.76
1995-12-22,1358.54
1995-12-27,1350.75
1995-12-28,1347.73
1995-12-29,1352.06
1996-01-02,1356.96
1996-01-03,1351.13
1996-01-04,1331.62
1996-01-05,1354.8
1996-01-08,1350.47
1996-01-09,1347.22
1996-01-10,1351.65
1996-01-11,1342.38
1996-01-12,1345.01
1996-01-15,1343.57
1996-01-16,1359.77
1996-01-17,1364.94
1996-01-18,1353.17
1996-01-19,1355.69
1996-01-22,1370.44
1996-01-23,1356.19
1996-01-24,1344.21
1996-01-25,1339.44
1996-01-26,1361.22
1996-01-29,1340.01
