Date,Price,Open,High,Low,Change %
1999-02-01,580.415,579.84,580.415,579.84,0.61%
1999-02-02,580.415,579.84,580.415,579.84,0.00%
1999-02-03,577.94,573.94,577.94,573.94,-0.43%
1999-02-04,577.94,573.94,577.94,573.94,0.00%
1999-02-05,577.94,573.94,577.94,573.94,0.00%
1999-02-08,575.75,575.5,575.75,575.5,-0.38%
1999-02-09,575.75,575.5,575.75,575.5,0.00%
1999-02-10,579.6,578.6,579.6,578.6,0.67%
1999-02-11,579.725,577.47,579.725,577.47,0.02%
1999-02-12,584.32,579.32,584.32,579.32,0.79%
1999-02-15,581.855,581.28,581.855,581.28,-0.42%
1999-02-16,586.28,585.2,586.28,585.2,0.76%
1999-02-17,583.2,582.07,583.2,582.07,-0.53%
1999-02-18,583.36,581.28,583.36,581.28,0.03%
1999-02-19,586.75,584.62,586.75,584.62,0.58%
1999-02-22,597.82,596.93,597.82,596.93,1.89%
1999-02-23,594.22,592.11,594.22,592.11,-0.60%
1999-02-24,597.955,592.85,597.955,592.85,0.63%
1999-02-25,594.725,591.59,594.725,591.59,-0.54%
1999-02-26,595.66,592.85,595.66,592.85,0.16%
1999-03-01,596.69,593.88,596.69,593.88,0.17%
1999-03-02,603.595,601.46,603.595,601.46,1.16%
1999-03-03,600.885,595.75,600.885,595.75,-0.45%
1999-03-04,603.54,598.46,603.54,598.46,0.44%
1999-03-05,606.385,604.3,606.385,604.3,0.47%
1999-03-09,602.6,597.35,602.6,597.35,-0.62%
1999-03-10,599.46,594.38,599.46,594.38,-0.52%
1999-03-11,602.045,596.91,602.045,596.91,0.43%
1999-03-12,600.5,595.36,600.5,595.36,-0.26%
1999-03-15,600.5,600.42,600.5,600.42,0.00%
1999-03-16,598.01,597.74,598.01,597.74,-0.41%
1999-03-17,597.655,597.52,597.655,597.52,-0.06%
1999-03-18,596.515,596.38,596.515,596.38,-0.19%
1999-03-19,601.325,601.19,601.325,601.19,0.81%
1999-03-22,603.205,603.12,603.205,603.12,0.31%
1999-03-23,601.545,601.46,601.545,601.46,-0.28%
1999-03-24,600.91,600.8,600.91,600.8,-0.11%
1999-03-25,603.375,603.29,603.375,603.29,0.41%
1999-03-26,610.505,610.36,610.505,610.36,1.18%
1999-03-30,611.985,611.84,611.985,611.84,0.24%
1999-03-31,611.415,611.33,611.415,611.33,-0.09%
1999-04-01,607.905,607.82,607.905,607.82,-0.57%
1999-04-02,608.015,607.93,608.015,607.93,0.02%
1999-04-05,608.015,607.93,608.015,607.93,0.00%
1999-04-06,611.075,610.99,611.075,610.99,0.50%
1999-04-07,606.83,606.69,606.83,606.69,-0.69%
1999-04-08,606.95,606.81,606.95,606.81,0.02%
1999-04-09,608.86,608.66,608.86,608.66,0.31%
1999-04-12,604.795,604.74,604.795,604.74,-0.67%
1999-04-13,607.48,607.37,607.48,607.37,0.44%
1999-04-14,607.51,607.31,607.51,607.31,0.00%
1999-04-15,609.685,609.63,609.685,609.63,0.36%
1999-04-16,612.7,612.64,612.7,612.64,0.49%
1999-04-19,617.66,617.6,617.66,617.6,0.81%
1999-04-20,618.185,618.13,618.185,618.13,0.09%
1999-04-21,618.04,617.89,618.04,617.89,-0.02%
1999-04-22,619.12,619.06,619.12,619.06,0.17%
1999-04-23,617.49,617.43,617.49,617.43,-0.26%
1999-04-27,615.055,615.0,615.055,615.0,-0.39%
1999-04-28,617.545,617.37,617.545,617.37,0.40%
1999-04-29,619.35,619.29,619.35,619.29,0.29%
1999-04-30,619.88,619.82,619.88,619.82,0.09%
1999-05-03,620.79,620.64,620.79,620.64,0.15%
1999-05-04,618.39,618.24,618.39,618.24,-0.39%
1999-05-05,611.3,611.16,611.3,611.16,-1.15%
1999-05-06,608.325,608.27,608.325,608.27,-0.49%
1999-05-07,607.09,606.81,607.09,606.81,-0.20%
1999-05-10,607.505,607.42,607.505,607.42,0.07%
1999-05-11,610.275,610.02,610.275,610.02,0.46%
1999-05-12,613.93,613.67,613.93,613.67,0.60%
1999-05-13,613.93,613.67,613.93,613.67,0.00%
1999-05-14,613.215,613.1,613.215,613.1,-0.12%
1999-05-17,614.075,613.96,614.075,613.96,0.14%
1999-05-19,616.15,614.86,616.15,614.86,0.34%
1999-05-20,616.765,616.62,616.765,616.62,0.10%
1999-05-21,621.17,621.11,621.17,621.11,0.71%
1999-05-25,618.185,617.01,618.185,617.01,-0.48%
1999-05-26,625.495,625.2,625.495,625.2,1.18%
1999-05-27,627.29,626.99,627.29,626.99,0.29%
1999-05-28,626.06,625.91,626.06,625.91,-0.20%
1999-05-31,627.38,627.23,627.38,627.23,0.21%
1999-06-01,627.5,627.29,627.5,627.29,0.02%
1999-06-02,633.1,633.04,633.1,633.04,0.89%
1999-06-03,631.515,630.83,631.515,630.83,-0.25%
1999-06-04,635.955,635.8,635.955,635.8,0.70%
1999-06-07,637.965,637.9,637.965,637.9,0.32%
1999-06-08,631.91,631.82,631.91,631.82,-0.95%
1999-06-09,627.62,627.41,627.62,627.41,-0.68%
1999-06-10,623.92,623.77,623.92,623.77,-0.59%
1999-06-11,625.735,625.56,625.735,625.56,0.29%
1999-06-15,631.275,631.15,631.275,631.15,0.89%
1999-06-16,634.08,633.96,634.08,633.96,0.44%
1999-06-17,635.25,635.19,635.25,635.19,0.18%
1999-06-18,635.775,635.12,635.775,635.12,0.08%
1999-06-21,634.45,634.39,634.45,634.39,-0.21%
1999-06-22,636.79,636.6,636.79,636.6,0.37%
1999-06-23,638.525,637.9,638.525,637.9,0.27%
1999-06-24,633.44,632.79,633.44,632.79,-0.80%
1999-06-25,627.02,626.93,627.02,626.93,-1.01%
1999-06-28,631.365,630.77,631.365,630.77,0.69%
1999-06-29,634.54,634.39,634.54,634.39,0.50%
1999-06-30,635.245,635.12,635.245,635.12,0.11%
1999-07-01,638.615,638.46,638.615,638.46,0.53%
1999-07-02,641.9,641.77,641.9,641.77,0.51%
1999-07-05,640.895,640.58,640.895,640.58,-0.16%
1999-07-06,641.115,640.9,641.115,640.9,0.03%
1999-07-07,642.31,642.15,642.31,642.15,0.19%
1999-07-08,644.865,644.8,644.865,644.8,0.40%
1999-07-09,643.82,643.66,643.82,643.66,-0.16%
1999-07-12,647.86,647.73,647.86,647.73,0.63%
1999-07-13,645.28,645.12,645.28,645.12,-0.40%
1999-07-14,642.28,642.03,642.28,642.03,-0.46%
1999-07-15,641.9,641.84,641.9,641.84,-0.06%
1999-07-16,642.715,642.59,642.715,642.59,0.13%
1999-07-19,646.39,646.26,646.39,646.26,0.57%
1999-07-20,630.15,630.0,630.15,630.0,-2.51%
1999-07-21,623.71,623.65,623.71,623.65,-1.02%
1999-07-22,625.35,625.2,625.35,625.2,0.26%
1999-07-23,624.245,624.19,624.245,624.19,-0.18%
1999-07-26,614.135,614.02,614.135,614.02,-1.62%
1999-07-27,617.43,617.31,617.43,617.31,0.54%
1999-07-28,615.69,615.52,615.69,615.52,-0.28%
1999-07-29,613.155,613.04,613.155,613.04,-0.41%
1999-07-30,613.1,613.04,613.1,613.04,-0.01%
1999-08-02,612.84,612.64,612.84,612.64,-0.04%
1999-08-03,615.98,615.92,615.98,615.92,0.51%
