Date,Price,Open,High,Low,Change %
1994-04-01,10.81081081081081,0.0925,0.0925,0.0925,-0.86%
1994-05-01,10.834236186348864,0.0923,0.0923,0.0923,-0.22%
1994-06-01,10.660980810234543,0.0938,0.0938,0.0938,1.63%
1994-07-01,10.582010582010582,0.0945,0.0945,0.0945,0.75%
1994-08-01,10.548523206751055,0.0948,0.0948,0.0948,0.32%
1994-09-01,10.0,0.1,0.1,0.1,5.49%
1994-10-01,10.050251256281406,0.0995,0.0995,0.0995,-0.50%
1994-11-01,9.775171065493646,0.1023,0.1023,0.1023,2.81%
1994-12-01,9.643201542912246,0.1037,0.1037,0.1037,1.37%
1995-01-01,9.523809523809524,0.105,0.105,0.105,1.25%
1995-02-01,9.345794392523365,0.106,0.107,0.106,1.90%
1995-03-01,9.025270758122744,0.1095,0.1108,0.1095,3.55%
1995-04-01,8.795074758135444,0.1122,0.1137,0.1122,2.62%
1995-05-01,8.658008658008658,0.1145,0.1155,0.1145,1.58%
1995-06-01,8.496176720475786,0.1167,0.1177,0.1167,1.90%
1995-07-01,8.305647840531561,0.1194,0.1204,0.1194,2.29%
1995-08-01,8.23045267489712,0.1205,0.1215,0.1205,0.91%
1995-09-01,7.49063670411985,0.1325,0.1335,0.1325,9.88%
1995-10-01,7.380073800738007,0.135,0.1355,0.135,1.50%
1995-11-01,7.017543859649123,0.141,0.1425,0.141,5.17%
1995-12-01,6.882312456985547,0.1438,0.1453,0.1438,1.96%
1996-01-01,6.662225183211192,0.1491,0.1501,0.1491,3.30%
1996-02-01,6.476683937823834,0.1532,0.1544,0.1532,2.86%
1996-03-01,6.329113924050633,0.157,0.158,0.157,2.33%
1996-04-01,6.218905472636816,0.1597,0.1608,0.1597,1.77%
1996-05-01,6.127450980392156,0.162,0.1632,0.162,1.49%
1996-06-01,6.006006006006006,0.165,0.1665,0.165,2.02%
1996-07-01,5.927682276229994,0.1672,0.1687,0.1672,1.32%
1996-08-01,5.952380952380952,0.1679,0.168,0.1679,-0.41%
1996-09-01,5.830903790087463,0.17,0.1715,0.17,2.08%
1996-10-01,5.803830528148578,0.171,0.1723,0.171,0.47%
1996-11-01,5.767012687427912,0.172,0.1734,0.172,0.64%
1996-12-01,5.74712643678161,0.1725,0.174,0.1725,0.35%
1997-01-01,5.701254275940707,0.1738,0.1754,0.1738,0.80%
1997-02-01,5.4495912806539515,0.182,0.1835,0.182,4.62%
1997-03-01,5.2356020942408374,0.1895,0.191,0.1895,4.09%
1997-04-01,5.0761421319796955,0.1955,0.197,0.1955,3.14%
1997-05-01,4.935834155972359,0.2015,0.2026,0.2015,2.84%
1997-06-01,4.7281323877068555,0.21,0.2115,0.21,4.39%
1997-07-01,4.694835680751174,0.2105,0.213,0.2105,0.71%
1997-08-01,4.576659038901602,0.217,0.2185,0.217,2.58%
1997-09-01,4.49438202247191,0.2205,0.2225,0.2205,1.83%
1997-10-01,4.484304932735426,0.221,0.223,0.221,0.22%
1997-11-01,4.464285714285714,0.2225,0.224,0.2225,0.45%
1997-12-01,4.424778761061947,0.224,0.226,0.224,0.89%
1998-01-01,4.366812227074235,0.228,0.229,0.228,1.33%
1998-02-01,4.3478260869565215,0.228,0.23,0.228,0.44%
1998-03-01,4.319654427645788,0.23,0.2315,0.23,0.65%
1998-04-01,4.304778303917348,0.2305,0.2323,0.2305,0.35%
1998-05-01,4.291845493562231,0.2315,0.233,0.2315,0.30%
